domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc,ours_seed42_regime,ours_seed42_accuracy,ours_seed42_auroc,ours_seed123_regime,ours_seed123_accuracy,ours_seed123_auroc,ours_seed456_regime,ours_seed456_accuracy,ours_seed456_auroc,ours_seed789_regime,ours_seed789_accuracy,ours_seed789_auroc,ours_lodo_accuracy,ours_lodo_auroc
audio,audio_esc10,w2v_bert_2,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),0.7833333333333333,0.8166666666666667,0.85,0.8,0.7333333333333333,0.9791666666666667,0.9830246913580247,0.986111111111111,0.9709876543209877,0.9660493827160493,,,,,,,,,,,,,,
audio,audio_esc10,wavlm_base_plus,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),0.8833333333333333,0.8666666666666667,0.8833333333333333,0.9166666666666666,0.8166666666666667,0.9675925925925926,0.9919753086419754,0.9910493827160494,0.9922839506172838,0.9898148148148149,seen,0.9166666666666666,0.9975308641975309,seen,0.8666666666666667,0.9969135802469136,seen,0.8666666666666667,0.9956790123456791,seen,0.8666666666666667,0.9956790123456791,0.9,0.9969135802469136
audio,audio_esc10,whisper_large_v3_turbo,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),0.8,0.9333333333333333,0.9166666666666666,0.85,0.8166666666666667,0.9614197530864198,0.9959876543209877,0.9969135802469136,0.991358024691358,0.9820987654320987,seen,0.9166666666666666,0.9969135802469136,seen,0.9166666666666666,0.9962962962962962,seen,0.9333333333333333,0.9966049382716049,seen,0.9,0.9956790123456789,0.9166666666666666,0.9969135802469136
audio,audio_gtzan,ast_audioset,999,599,200,200,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),0.81,0.835,0.845,0.805,0.695,0.9524305555555556,0.9793888888888891,0.9835277777777778,0.9777777777777779,0.9511388888888888,unseen_encoders,0.83,0.9795833333333333,unseen_encoders,0.84,0.9831111111111112,unseen_encoders,0.845,0.9811111111111112,unseen_encoders,0.825,0.9814444444444446,0.815,0.9785555555555556
audio,audio_gtzan,clap_general,999,599,200,200,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),0.84,0.855,0.825,0.82,0.76,0.9727499999999999,0.9796388888888888,0.9838888888888888,0.9834166666666666,0.9553611111111111,seen,0.89,0.9868888888888888,seen,0.895,0.9878055555555555,seen,0.91,0.9878888888888889,seen,0.89,0.9869999999999999,0.88,0.9868055555555555
audio,audio_gtzan,w2v_bert_2,999,599,200,200,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),0.63,0.73,0.73,0.71,0.595,0.9086111111111113,0.9512222222222222,0.9586388888888889,0.94575,0.8958055555555557,,,,,,,,,,,,,,
audio,audio_gtzan,wavlm_base_plus,999,599,200,200,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),0.56,0.605,0.655,0.6,0.51,0.8634305555555555,0.9215833333333332,0.9319166666666667,0.9132777777777779,0.87325,seen,0.64,0.9341388888888889,seen,0.675,0.9398333333333332,seen,0.65,0.9391666666666666,seen,0.625,0.9353055555555555,0.615,0.9271111111111111
audio,audio_gtzan,whisper_large_v3_turbo,999,599,200,200,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),0.59,0.685,0.715,0.62,0.55,0.8573611111111111,0.9431111111111111,0.9439444444444444,0.9057222222222222,0.885888888888889,seen,0.65,0.9327500000000001,seen,0.655,0.9338611111111111,seen,0.64,0.9303055555555556,seen,0.665,0.9272500000000001,0.65,0.922111111111111
audio,audio_ravdess,ast_audioset,1440,864,288,288,8,0.0667,multiclass,HuggingFace (xbgoose/ravdess),0.5138888888888888,0.5868055555555556,0.5902777777777778,0.5486111111111112,0.5034722222222222,0.8251855237398782,0.9004307565385885,0.9037498509960757,0.8809869521481519,0.847624490637978,unseen_encoders,0.59375,0.912369284028236,unseen_encoders,0.5972222222222222,0.9108983306362324,unseen_encoders,0.59375,0.9119805526608035,unseen_encoders,0.5902777777777778,0.907550201276689,0.5902777777777778,0.8996383272959092
audio,audio_ravdess,clap_general,1440,864,288,288,8,0.0667,multiclass,HuggingFace (xbgoose/ravdess),0.4826388888888889,0.6006944444444444,0.5833333333333334,0.5902777777777778,0.5520833333333334,0.8150547421740502,0.9067495556679004,0.9098705354002841,0.9023110625153414,0.8737913826238435,seen,0.6354166666666666,0.9184341913454983,seen,0.6180555555555556,0.9142615329903714,seen,0.6180555555555556,0.9195218826331015,seen,0.625,0.9186603307308873,0.5868055555555556,0.9018468236938946
audio,audio_ravdess,wavlm_base_plus,1440,864,288,288,8,0.0667,multiclass,HuggingFace (xbgoose/ravdess),0.4097222222222222,0.5972222222222222,0.6180555555555556,0.5277777777777778,0.4722222222222222,0.7518870464625687,0.8967140652018043,0.9013159289879393,0.8798663929934729,0.8366619164223681,seen,0.65625,0.9184950404943929,seen,0.6458333333333334,0.9132659208945207,seen,0.6354166666666666,0.9127054208838525,seen,0.6354166666666666,0.9174441656728203,0.6215277777777778,0.9036917677482652
audio,audio_ravdess,whisper_large_v3_turbo,1440,864,288,288,8,0.0667,multiclass,HuggingFace (xbgoose/ravdess),0.5208333333333334,0.7048611111111112,0.7083333333333334,0.6666666666666666,0.59375,0.8336833604176752,0.9436783553450341,0.9467231464072001,0.9339846626143563,0.9082611170970575,seen,0.6979166666666666,0.9546007413204636,seen,0.7013888888888888,0.9511168617649968,seen,0.7152777777777778,0.9526290599993097,seen,0.7048611111111112,0.9544854785798321,0.6979166666666666,0.9478658420889634
audio,audio_urbansound8k,ast_audioset,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.8675,0.9,0.9125,0.8925,0.835,0.9789279454641193,0.9910836983425326,0.9935716466222335,0.9908243495998823,0.9826842376889756,unseen_encoders,0.91,0.9943728187597578,unseen_encoders,0.91,0.9947197357104942,unseen_encoders,0.915,0.9948452121131812,unseen_encoders,0.9125,0.9941274328399382,0.905,0.9932316585184069
audio,audio_urbansound8k,clap_general,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.89,0.88,0.8875,0.8775,0.8475,0.9804664200042466,0.9880539475568735,0.9889756241217217,0.9909597355227449,0.9849249523421021,seen,0.9,0.9937015664922221,seen,0.9075,0.9940134793549802,seen,0.905,0.9939596428539422,seen,0.905,0.9936248890068018,0.89,0.9924600379855132
audio,audio_urbansound8k,wavlm_base_plus,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.535,0.6175,0.635,0.63,0.595,0.8502549241004568,0.9041357038466202,0.9182955943662605,0.9273722622764744,0.9057814320860771,seen,0.665,0.945530479004377,seen,0.66,0.9442383675547189,seen,0.6675,0.9449837005383996,seen,0.6775,0.9451690796942123,0.6425,0.9445047972276601
audio,audio_urbansound8k,whisper_large_v3_turbo,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.6225,0.7025,0.7025,0.6475,0.6625,0.8919570378116564,0.9457302277790577,0.9511292167784372,0.9316633831939389,0.9353502470186387,seen,0.7,0.9618879137966182,seen,0.715,0.9623598124826305,seen,0.715,0.959935732018082,seen,0.71,0.9592371551712441,0.6975,0.9573536344141615
audio,audio_voxforge_lang,ast_audioset,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),0.175,0.275,0.225,0.25,0.25,0.600161044531449,0.6349207343922417,0.6194577338511161,0.5780384729649435,0.6064386114294202,unseen_both,0.225,0.5850299940051779,unseen_encoders,0.25,0.5905528035077667,unseen_encoders,0.3,0.6219829996392497,unseen_both,0.25,0.6005171396209998,0.25,0.5727131278647822
audio,audio_voxforge_lang,clap_general,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),0.325,0.425,0.4,0.375,0.275,0.7154968739389695,0.7096817439096851,0.7315520687441643,0.7212914995543672,0.5907595187696292,unseen_tasks,0.4,0.752364081996435,seen,0.45,0.7841451940624734,seen,0.425,0.7663038207707324,unseen_tasks,0.375,0.7672328192640693,0.375,0.724719185022494
audio,audio_voxforge_lang,wavlm_base_plus,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),0.425,0.6,0.6,0.425,0.375,0.7677212646422206,0.8607591407775231,0.8669381512074529,0.804522987225193,0.7057554006451067,unseen_tasks,0.525,0.8153827070600967,seen,0.575,0.8315892578622357,seen,0.625,0.8401864827370341,unseen_tasks,0.55,0.8231014185977421,0.45,0.779206448677956
audio,audio_voxforge_lang,whisper_large_v3_turbo,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),1.0,1.0,1.0,1.0,0.725,1.0,1.0,1.0,1.0,0.9430090824208471,unseen_tasks,1.0,1.0,seen,1.0,1.0,seen,1.0,1.0,unseen_tasks,1.0,1.0,1.0,1.0
graphs,graph_aids,pyg_gat,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.8325,0.785,0.84,0.905,0.8675,0.78455078125,0.7522265624999999,0.8734375000000001,0.96048828125,0.9073046875,seen,0.925,0.9614257812499999,seen,0.925,0.96634765625,seen,0.92,0.95666015625,unseen_tasks,0.92,0.952109375,0.9075,0.9433203125
graphs,graph_aids,pyg_gcn,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.9175,0.8325,0.885,0.86,0.9425,0.8823828125,0.8699609374999999,0.945546875,0.8222265625,0.9616015625,seen,0.9525,0.98337890625,seen,0.95,0.98296875,seen,0.9475,0.9740625,unseen_tasks,0.94,0.9747265624999999,0.9475,0.98412109375
graphs,graph_aids,pyg_gin,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.99,0.995,0.9925,1.0,1.0,0.9872265625000001,1.0,0.9999218750000001,1.0,1.0,seen,1.0,1.0,seen,1.0,1.0,seen,1.0,1.0,unseen_tasks,0.9975,1.0,1.0,1.0
graphs,graph_aids,pyg_sage,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.9075,0.82,0.8925,0.545,0.9475,0.8770703125,0.8485546875000001,0.9461328125,0.8088671875000001,0.954765625,unseen_encoders,0.9525,0.97595703125,unseen_encoders,0.95,0.980390625,unseen_encoders,0.9425,0.9763867187499999,unseen_both,0.95,0.97376953125,0.95,0.9732031250000001
graphs,graph_bzr,pyg_gat,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8135593220338984,0.8135593220338984,0.7457627118644068,0.8305084745762712,0.7627118644067796,0.7978723404255319,0.7730496453900709,0.7056737588652482,0.8670212765957447,0.7960992907801419,seen,0.8135593220338984,0.875886524822695,seen,0.847457627118644,0.9086879432624113,unseen_tasks,0.8305084745762712,0.8093971631205674,seen,0.8135593220338984,0.8829787234042553,0.847457627118644,0.8120567375886525
graphs,graph_bzr,pyg_gcn,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8135593220338984,0.8813559322033898,0.864406779661017,0.8135593220338984,0.8305084745762712,0.8918439716312057,0.9131205673758865,0.9432624113475178,0.6879432624113475,0.8723404255319149,seen,0.864406779661017,0.8900709219858156,seen,0.864406779661017,0.9033687943262412,unseen_tasks,0.8983050847457628,0.9290780141843971,seen,0.9152542372881356,0.9397163120567376,0.8983050847457628,0.9397163120567376
graphs,graph_bzr,pyg_gin,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8305084745762712,0.847457627118644,0.847457627118644,0.7966101694915254,0.8135593220338984,0.8138297872340426,0.8581560283687943,0.851063829787234,0.7278368794326241,0.8324468085106383,seen,0.864406779661017,0.8936170212765957,seen,0.8983050847457628,0.9397163120567376,unseen_tasks,0.9152542372881356,0.9397163120567376,seen,0.8983050847457628,0.9609929078014184,0.8983050847457628,0.9308510638297872
graphs,graph_bzr,pyg_sage,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8305084745762712,0.8135593220338984,0.8305084745762712,0.7796610169491526,0.847457627118644,0.8705673758865248,0.8439716312056738,0.8953900709219857,0.6391843971631206,0.8936170212765957,unseen_encoders,0.8813559322033898,0.9060283687943264,unseen_encoders,0.8813559322033898,0.9556737588652482,unseen_both,0.8813559322033898,0.9459219858156028,unseen_encoders,0.8813559322033898,0.9414893617021276,0.8135593220338984,0.9122340425531915
graphs,graph_cox2,pyg_gat,467,329,69,69,2,0.2184,,TUDataset (COX2),0.7971014492753623,0.8115942028985508,0.8115942028985508,0.8260869565217391,0.8115942028985508,0.6567901234567902,0.8135802469135802,0.762962962962963,0.7166666666666667,0.6074074074074074,unseen_tasks,0.7971014492753623,0.8098765432098766,seen,0.7971014492753623,0.8117283950617284,seen,0.7971014492753623,0.795679012345679,seen,0.782608695652174,0.7993827160493827,0.7971014492753623,0.7154320987654321
graphs,graph_cox2,pyg_gcn,467,329,69,69,2,0.2184,,TUDataset (COX2),0.8405797101449275,0.8115942028985508,0.855072463768116,0.34782608695652173,0.8405797101449275,0.6771604938271605,0.7728395061728395,0.6617283950617284,0.47962962962962963,0.7814814814814814,unseen_tasks,0.7681159420289855,0.7808641975308642,seen,0.8405797101449275,0.7697530864197532,seen,0.8260869565217391,0.8098765432098766,seen,0.8260869565217391,0.8629629629629629,0.8260869565217391,0.7209876543209877
graphs,graph_cox2,pyg_gin,467,329,69,69,2,0.2184,,TUDataset (COX2),0.7681159420289855,0.8260869565217391,0.7971014492753623,0.782608695652174,0.8260869565217391,0.6969135802469136,0.7395061728395061,0.6876543209876543,0.6814814814814815,0.8296296296296296,unseen_tasks,0.7971014492753623,0.821604938271605,seen,0.7971014492753623,0.8746913580246914,seen,0.7971014492753623,0.7993827160493827,seen,0.8115942028985508,0.8660493827160494,0.782608695652174,0.7635802469135803
graphs,graph_cox2,pyg_sage,467,329,69,69,2,0.2184,,TUDataset (COX2),0.8405797101449275,0.8405797101449275,0.855072463768116,0.6521739130434783,0.8260869565217391,0.760493827160494,0.8617283950617284,0.7864197530864199,0.654320987654321,0.7641975308641975,unseen_both,0.8405797101449275,0.8641975308641976,unseen_encoders,0.855072463768116,0.8351851851851851,unseen_encoders,0.8405797101449275,0.7938271604938272,unseen_encoders,0.8405797101449275,0.8635802469135803,0.8260869565217391,0.8271604938271604
graphs,graph_dd,pyg_gat,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.6313559322033898,0.6398305084745762,0.6271186440677966,0.7542372881355932,0.690677966101695,0.6579025439442261,0.5986798190313728,0.6052807238745086,0.8098716902766447,0.768226655788771,unseen_tasks,0.75,0.8112067047393013,seen,0.7245762711864406,0.8126158866721056,seen,0.7288135593220338,0.8164725951197803,seen,0.7330508474576272,0.8165467625899281,0.7372881355932204,0.811651709560187
graphs,graph_dd,pyg_gcn,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.673728813559322,0.6440677966101694,0.597457627118644,0.6949152542372882,0.7245762711864406,0.6997700808425424,0.6626863457687457,0.625454275754654,0.7684862419342876,0.7685233256693614,unseen_tasks,0.7627118644067796,0.8247051843061634,seen,0.7542372881355932,0.8313060891492992,seen,0.7627118644067796,0.8308610843284135,seen,0.7415254237288136,0.8165838463250018,0.7627118644067796,0.816732181265297
graphs,graph_dd,pyg_gin,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.7669491525423728,0.7033898305084746,0.7542372881355932,0.673728813559322,0.7457627118644068,0.8079433360528072,0.7562856930950086,0.8214047318845954,0.7194244604316546,0.7763850775050063,unseen_tasks,0.7372881355932204,0.8177705258473633,seen,0.7796610169491526,0.8309723355336349,seen,0.7627118644067796,0.8311577542090038,seen,0.7457627118644068,0.8352369650671215,0.7627118644067796,0.8193280427204629
graphs,graph_dd,pyg_sage,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.6016949152542372,0.5677966101694916,0.6313559322033898,0.6610169491525424,0.7203389830508474,0.64114069569087,0.5310390862567678,0.6105466142549877,0.7467551731810428,0.7937402655195431,unseen_both,0.75,0.8135800637840244,unseen_encoders,0.7584745762711864,0.82896981383965,unseen_encoders,0.7542372881355932,0.8206259734480457,unseen_encoders,0.7415254237288136,0.8297485722761996,0.7542372881355932,0.8222576577912927
graphs,graph_dhfr,pyg_gat,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6842105263157895,0.5657894736842105,0.4934210526315789,0.6776315789473685,0.6710526315789473,0.6610169491525423,0.5567705485693457,0.49097867687260793,0.6997448514671042,0.6610169491525423,seen,0.7236842105263158,0.7177874977218881,seen,0.6644736842105263,0.6758702387461273,seen,0.6513157894736842,0.6816110807362857,unseen_tasks,0.6776315789473685,0.7034809549845089,0.6118421052631579,0.6582832148715144
graphs,graph_dhfr,pyg_gcn,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6776315789473685,0.6973684210526315,0.5921052631578947,0.5855263157894737,0.6776315789473685,0.6718607618006196,0.7213413522872243,0.5427373792600693,0.5161290322580645,0.7032987060324404,seen,0.7302631578947368,0.7750136686714052,seen,0.75,0.7868598505558594,seen,0.7171052631578947,0.7641698560233278,unseen_tasks,0.7236842105263158,0.759340258793512,0.7368421052631579,0.7919628212137779
graphs,graph_dhfr,pyg_gin,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6842105263157895,0.7171052631578947,0.631578947368421,0.5657894736842105,0.6644736842105263,0.6947330052852196,0.7585201385092036,0.6927282668124659,0.6005102970657918,0.7257153271368689,seen,0.7631578947368421,0.7882267176963733,seen,0.7171052631578947,0.7752870420995079,seen,0.7236842105263158,0.7859486057955167,unseen_tasks,0.6973684210526315,0.7855841078913797,0.7171052631578947,0.8103699653726991
graphs,graph_dhfr,pyg_sage,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6907894736842105,0.7236842105263158,0.5986842105263158,0.5328947368421053,0.6513157894736842,0.6885365409148898,0.7760160379077821,0.6333151084381264,0.5111171860761801,0.6965554948059048,unseen_encoders,0.7236842105263158,0.7731000546746857,unseen_encoders,0.6907894736842105,0.7625296154547111,unseen_encoders,0.7171052631578947,0.7473118279569892,unseen_both,0.6907894736842105,0.726079825041006,0.6973684210526315,0.7769272826681246
graphs,graph_enzymes,pyg_gat,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.25833333333333336,0.19166666666666668,0.225,0.3,0.25,0.636875,0.5005000000000001,0.6428333333333335,0.6631666666666668,0.6340833333333333,seen,0.4166666666666667,0.7505000000000001,unseen_tasks,0.31666666666666665,0.6604166666666667,seen,0.325,0.6785,seen,0.3333333333333333,0.7006666666666667,0.18333333333333332,0.5953333333333334
graphs,graph_enzymes,pyg_gcn,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.375,0.225,0.21666666666666667,0.15,0.4083333333333333,0.684875,0.6046666666666667,0.5595833333333333,0.50925,0.7070833333333333,seen,0.49166666666666664,0.7821666666666666,unseen_tasks,0.43333333333333335,0.7273333333333335,seen,0.4583333333333333,0.7495833333333334,seen,0.475,0.7606666666666667,0.225,0.55025
graphs,graph_enzymes,pyg_gin,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.36666666666666664,0.2916666666666667,0.26666666666666666,0.25,0.2916666666666667,0.6853333333333333,0.6360833333333334,0.6244166666666666,0.5918333333333333,0.7054999999999999,seen,0.4083333333333333,0.74275,unseen_tasks,0.39166666666666666,0.7087499999999999,seen,0.4083333333333333,0.7330833333333334,seen,0.4166666666666667,0.74425,0.2916666666666667,0.6574166666666666
graphs,graph_enzymes,pyg_sage,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.35,0.23333333333333334,0.21666666666666667,0.15833333333333333,0.3333333333333333,0.6581666666666667,0.548,0.5875,0.50725,0.67325,unseen_encoders,0.4083333333333333,0.7047500000000001,unseen_both,0.36666666666666664,0.6806666666666666,unseen_encoders,0.38333333333333336,0.7140833333333334,unseen_encoders,0.39166666666666666,0.7276666666666666,0.20833333333333334,0.5476666666666666
graphs,graph_mutag,pyg_gat,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.6666666666666666,0.5925925925925926,0.6296296296296297,0.7407407407407407,0.7037037037037037,0.5925925925925926,0.7777777777777777,0.654320987654321,0.6697530864197531,0.6296296296296297,seen,0.7037037037037037,0.7407407407407407,unseen_tasks,0.7777777777777778,0.5895061728395061,seen,0.7407407407407407,0.7530864197530864,seen,0.7037037037037037,0.7746913580246914,0.7777777777777778,0.8888888888888888
graphs,graph_mutag,pyg_gcn,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.7037037037037037,0.7407407407407407,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.7530864197530864,0.7592592592592592,0.7407407407407407,0.5740740740740741,0.7469135802469136,seen,0.8148148148148148,0.7839506172839505,unseen_tasks,0.7407407407407407,0.7345679012345679,seen,0.7777777777777778,0.8117283950617283,seen,0.7777777777777778,0.8209876543209876,0.7777777777777778,0.8271604938271605
graphs,graph_mutag,pyg_gin,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.8148148148148148,0.8518518518518519,0.8518518518518519,0.4074074074074074,0.8148148148148148,0.9290123456790125,0.9197530864197532,0.8888888888888888,0.882716049382716,0.8580246913580247,seen,0.8148148148148148,0.8580246913580247,unseen_tasks,0.7777777777777778,0.8395061728395062,seen,0.7777777777777778,0.8672839506172839,seen,0.7407407407407407,0.8703703703703703,0.7777777777777778,0.8765432098765431
graphs,graph_mutag,pyg_sage,188,134,27,27,2,0.3351,,TUDataset (MUTAG),0.5925925925925926,0.7407407407407407,0.6666666666666666,0.37037037037037035,0.7037037037037037,0.654320987654321,0.7592592592592593,0.6666666666666666,0.5185185185185185,0.7469135802469136,unseen_encoders,0.7777777777777778,0.7345679012345679,unseen_both,0.7777777777777778,0.7716049382716049,unseen_encoders,0.7407407407407407,0.808641975308642,unseen_encoders,0.7037037037037037,0.7098765432098766,0.7407407407407407,0.8148148148148148
graphs,graph_nci1,pyg_gat,4110,2466,822,822,2,0.4995,binary,PyG TUDataset (NCI1),0.6180048661800487,0.6557177615571776,0.6459854014598541,0.6849148418491484,0.6338199513381995,0.6556792820312456,0.6936556141628335,0.6828931867559391,0.7376613920116504,0.6855009146287319,seen,0.6751824817518248,0.707602962331504,seen,0.6885644768856448,0.732383777031867,seen,0.6630170316301703,0.707520083352573,seen,0.670316301703163,0.7275264768738049,0.670316301703163,0.7200880885147496
